33,4,1
66.5,12,1
35,26,1
61.5,122,2
35,123,2
33,130,2
47,118,2
32.5,116,2
25.5,102,2
49,110,2
21,25,1
51.5,102,2
26,121,2
27.5,105,2
39,117,2
42.5,17,1
30,123,2
56,122,2
82.5,115,2
25.5,112,2
53.5,118,2
36.5,126,2
45.5,122,2
31,20,1
48,134,2
43,118,2
53,129,2
49,108,2
36.5,121,2
30.5,116,2
50,116,2
21.5,15,1
47.5,122,2
42.5,118,2
16,0,1
63,107,2
30.5,116,2
30.5,6,1
26,18,1
50,123,2
53.5,113,2
51,118,2
43,15,1
38.5,122,2
29,11,1
40.5,116,2
36,20,1
38,122,2
35,121,2
53.5,17,1
34.5,100,2
36,127,2
35.5,29,1
57.5,20,1
45,122,2
30,104,2
31,26,1
43,19,1
53.5,115,2
47.5,109,2
17.5,111,2
29,120,2
29.5,118,2
38.5,14,1
46,24,1
44,121,2
32,8,1
56.5,131,2
54.5,125,2
48,112,2
51.5,119,2
39.5,17,1
48,120,2
43,111,2
28,15,1
36,126,2
32.5,105,2
39.5,115,2
37,124,2
39,111,2
43.5,125,2
39.5,103,2
29,21,1
39,103,2
31.5,110,2
46.5,35,1
31,102,2
52.5,113,2
25,5,1
36,9,1
41,21,1
65.5,20,1
36,118,2
36,112,2
37.5,117,2
47,121,2
46,110,2
41.5,125,2
47.5,107,2
31.5,120,2
27,114,2
33.5,106,2
40.5,31,1
34,14,1
42,113,2
32.5,22,1
50.5,24,1
26,122,2
49,13,1
28.5,130,2
31.5,110,2
30,120,2
49.5,122,2
49,114,2
45.5,107,2
45.5,125,2
27.5,115,2
31,114,2
46.5,126,2
33,112,2
31.5,21,1
39.5,121,2
36.5,123,2
38.5,11,1
42.5,113,2
53,121,2
51,120,2
32.5,28,1
38,115,2
69.5,9,1
42.5,115,2
58,126,2
46,128,2
44,11,1
32.5,119,2
27,126,2
29.5,109,2
31,113,2
38,4,1
35.5,113,2
40.5,111,2
22,9,1
57.5,120,2
70.5,100,2
24.5,108,2
29,110,2
53,129,2
32.5,114,2
53,119,2
49.5,122,2
40.5,20,1
50,124,2
44.5,22,1
34.5,119,2
41,27,1
32.5,10,1
24.5,111,2
58,121,2
54.5,116,2
29,124,2
37,7,1
21,2,1
64.5,118,2
48.5,13,1
69.5,119,2
25.5,13,1
45.5,101,2
38.5,118,2
47.5,23,1
58,129,2
54,105,2
49.5,6,1
40,109,2
32,114,2
50,8,1
23,12,1
25,1,1
32,121,2
50.5,116,2
44,120,2
32.5,116,2
36.5,14,1
30.5,119,2
47.5,122,2
37,117,2
38,128,2
39.5,115,2
51.5,128,2
27,14,1
26,123,2
35,118,2
38.5,107,2
29,111,2
44,122,2
43,130,2
41,125,2
55.5,30,1
38.5,133,2
66.5,127,2
44,126,2
48.5,118,2
41,125,2
37.5,123,2
64,128,2
25,131,2
63,135,2
31.5,125,2
34.5,127,2
55,121,2
39,110,2
49.5,5,1
22,130,2
35,117,2
40.5,21,1
41.5,106,2
54.5,125,2
55.5,126,2
48.5,117,2
46,118,2
58,20,1
35,112,2
27,106,2
58.5,103,2
53,117,2
63.5,111,2
46.5,111,2
30.5,113,2
33,120,2
46,12,1
78,111,2
35,120,2
45,5,1
63.5,124,2
32.5,18,1
47,14,1
47.5,124,2
53.5,113,2
55.5,7,1
33.5,118,2
44.5,111,2
46,121,2
25,120,2
40.5,111,2
61.5,25,1
43.5,13,1
63,129,2
36.5,26,1
30.5,118,2
26,1,1
25.5,23,1
36,116,2
38,128,2
47.5,113,2
47,120,2
31.5,120,2
35.5,111,2
31,13,1
48.5,23,1
43.5,14,1
33,11,1
35,128,2
27,121,2
36.5,113,2
40,119,2
37.5,16,1
30.5,33,1
43.5,121,2
36.5,106,2
29.5,108,2
24,111,2
41.5,110,2
43.5,109,2
41.5,123,2
50,126,2
23.4,121,2
33.5,20,1
38.5,124,2
21,18,1
43,126,2
40,130,2
49,112,2
49.5,20,1
42,15,1
61,124,2
33.5,112,2
49.5,127,2
41,130,2
32.5,129,2
60.5,19,1
48,108,2
85.5,36,1
35,6,1
23,112,2
39,124,2
47.5,23,1
27.5,123,2
38,118,2
32,125,2
27,108,2
42,24,1
42.5,112,2
39,124,2
24.5,122,2
48.5,126,2
29.5,118,2
46,23,1
28.5,117,2
27,111,2
47,27,1
27,112,2
64.5,2,1
55,111,2
54,111,2
36,15,1
41,116,2
48.5,108,2
26.5,118,2
31.5,25,1
42.5,125,2
33.5,118,2
42.5,117,2
41,27,1
41.5,119,2
34.5,103,2
55.5,105,2
45,112,2
34.5,12,1
29.5,19,1
59.5,18,1
49.5,118,2
51,111,2
